REGISTRO,CUESTIONARIO,GENERO,GRUPO DE EDAD,Acepta contestar la encuesta?, ¿En qué municipio vive?, ¿Que tan seguro considera es vivir en SU MUNICIPIO?,¿Qué tan seguro considera que es vivir en EL ESTADO?,¿Qué tan seguro considera que es vivir en EL PAIS?,Por lo que ha observado ¿considera que la inseguridad en los últimos TRES MESES en SU MUNICIPIO...?,Por lo que ha observado ¿considera que la inseguridad en los últimos TRES MESES en EL ESTADO...?,Por lo que ha observado ¿considera que la inseguridad en los últimos TRES MESES en EL PAIS...?,"En este momento, ¿Cuánta confianza le tiene a Tránsito de su Municipio?","En este momento, ¿Cuánta confianza le tiene a La Policía de su Municipio?","En este momento, ¿Cuánta confianza le tiene a La Fuerza Civil?","En este momento, ¿Cuánta confianza le tiene a La Policía Federal?","En este momento, ¿Cuánta confianza le tiene a El Ejército?","En este momento, ¿Cuánta confianza le tiene a La Marina?",¿En alguna ocasión los elementos de Tránsito de su Municipio le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de La Policía de su Municipio le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de La Fuerza Civil le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de La Policía Federal le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de El Ejército le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de La Marina le han pedido a usted algún soborno?,¿Qué tan comprometido considera que está el ALCALDE ACTUAL DE SU MUNICIPIO en resolver el problema de inseguridad?,Por lo que usted sabe de las acciones de las autoridades ¿considera que  la inseguridad  EN LOS PRÓXIMOS TRES MESES en SU MUNICIPIO…,¿Qué tan comprometido considera que está el GOBERNADOR DEL ESTADO en resolver el problema de inseguridad en el Estado?,Por lo que usted sabe de las acciones de las autoridades ¿considera que  la inseguridad EN LOS PRÓXIMOS TRES MESES en EL ESTADO…,¿Qué tan comprometido considera que está el PRESIDENTE DE LA REPÚBLICA en resolver el problema de inseguridad en el País?,Por lo que usted sabe de las acciones de las autoridades ¿considera que  la inseguridad EN LOS PRÓXIMOS TRES MESES en EL PAIS…
340,ASCENDENTE,Masculino,NO PROPORCIONADO/NO REGISTRADO,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,INSEGURO,POCO SEGURO,SIGUE IGUAL?,HA BAJADO?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,SI,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
341,ASCENDENTE,Femenino,50-59 años,CONTINUAR ENTREVISTA,Escobedo,INSEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,HA BAJADO?,HA BAJADO?,ALGO DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
342,ASCENDENTE,Femenino,50-59 años,CONTINUAR ENTREVISTA,Juárez,INSEGURO,POCO SEGURO,INSEGURO,SIGUE IGUAL?,HA AUMENTADO?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,,,,,,,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,No contestó
343,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,Santa Catarina,INSEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,HA AUMENTADO?,HA AUMENTADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,NADA DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,SI,NO,NO,NO,NO,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
344,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Escobedo,POCO SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,HA AUMENTADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
345,ASCENDENTE,Masculino,18-29 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA AUMENTADO?,HA AUMENTADO?,HA AUMENTADO?,NADA DE CONFIANZA,ALGO DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,MUCHA CONFIANZA,NADA DE CONFIANZA,NO,NO,SI,NO,NO,NO,COMPROMETIDO,VA A AUMENTAR?,COMPROMETIDO,VA A AUMENTAR?,NADA COMPROMETIDO,VA A AUMENTAR?
346,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,San Nicolás,SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,HA BAJADO?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,SI,SI,NO,NO,NO,NO,COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
347,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,SEGURO,SEGURO,HA AUMENTADO?,HA BAJADO?,HA BAJADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
348,ASCENDENTE,Masculino,50-59 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?
349,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,INSEGURO,INSEGURO,SIGUE IGUAL?,HA AUMENTADO?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,,,,,,,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
350,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Santa Catarina,INSEGURO,INSEGURO,INSEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
351,ASCENDENTE,Femenino,60 años o más,CONTINUAR ENTREVISTA,Santa Catarina,SEGURO,SEGURO,SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,NADA DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,No sabe,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,No sabe
352,ASCENDENTE,Masculino,60 años o más,CONTINUAR ENTREVISTA,Santa Catarina,SEGURO,SEGURO,SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,,,,,,,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
353,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Escobedo,SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A SEGUIR IGUAL?
354,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,Santa Catarina,SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
355,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Escobedo,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
356,ASCENDENTE,Masculino,40-49 años,CONTINUAR ENTREVISTA,Santa Catarina,INSEGURO,INSEGURO,INSEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NO,NO,NO,NO,NO,NO,NADA COMPROMETIDO,VA A AUMENTAR?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
357,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Apodaca,SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
358,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,INSEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
359,ASCENDENTE,Femenino,50-59 años,CONTINUAR ENTREVISTA,Apodaca,POCO SEGURO,POCO SEGURO,,SIGUE IGUAL?,HA AUMENTADO?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,No sabe,No contestó,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
360,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Escobedo,POCO SEGURO,INSEGURO,INSEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,NO,NO,NO,NO,NO,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
361,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Escobedo,INSEGURO,POCO SEGURO,INSEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A AUMENTAR?
362,ASCENDENTE,Masculino,30-39 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,INSEGURO,INSEGURO,SIGUE IGUAL?,HA BAJADO?,HA AUMENTADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
363,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Escobedo,SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,HA AUMENTADO?,HA AUMENTADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
364,ASCENDENTE,Masculino,30-39 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,SI,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A BAJAR?
365,ASCENDENTE,Masculino,50-59 años,CONTINUAR ENTREVISTA,Santa Catarina,INSEGURO,INSEGURO,INSEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,NO,NO,NO,NO,NO,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
366,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
367,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Santa Catarina,SEGURO,SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,SIGUE IGUAL?,ALGO DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,No sabe,ALGO DE CONFIANZA,ALGO DE CONFIANZA,SI,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
368,ASCENDENTE,Masculino,18-29 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,SEGURO,SEGURO,HA AUMENTADO?,HA AUMENTADO?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,SI,SI,NO,NO,NO,NO,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
369,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,San Nicolás,SEGURO,INSEGURO,POCO SEGURO,HA BAJADO?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,SI,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A BAJAR?
370,ASCENDENTE,Masculino,30-39 años,CONTINUAR ENTREVISTA,Monterrey,SEGURO,SEGURO,SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
371,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA AUMENTADO?,HA BAJADO?,HA AUMENTADO?,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A AUMENTAR?,UN POCO COMPROMETIDO,VA A AUMENTAR?,UN POCO COMPROMETIDO,VA A AUMENTAR?
372,ASCENDENTE,Femenino,50-59 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,,,,,,,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
373,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Juárez,POCO SEGURO,INSEGURO,INSEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,SI,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
374,ASCENDENTE,Masculino,50-59 años,CONTINUAR ENTREVISTA,San Nicolás,POCO SEGURO,POCO SEGURO,SEGURO,HA BAJADO?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A BAJAR?,NADA COMPROMETIDO,VA A AUMENTAR?,NADA COMPROMETIDO,VA A AUMENTAR?
375,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,Escobedo,POCO SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A AUMENTAR?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
376,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,San Nicolás,POCO SEGURO,INSEGURO,POCO SEGURO,HA AUMENTADO?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,SI,NO,NO,NO,NO,NO,NADA COMPROMETIDO,No sabe,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A AUMENTAR?
377,ASCENDENTE,Masculino,50-59 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA AUMENTADO?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,SI,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A AUMENTAR?,UN POCO COMPROMETIDO,VA A AUMENTAR?,UN POCO COMPROMETIDO,VA A AUMENTAR?
378,ASCENDENTE,Masculino,40-49 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,SI,NO,NO,NO,NO,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?
379,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA AUMENTADO?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,No sabe,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
380,ASCENDENTE,Masculino,18-29 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,SI,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
381,ASCENDENTE,Femenino,50-59 años,CONTINUAR ENTREVISTA,Escobedo,POCO SEGURO,INSEGURO,INSEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,SI,NO,NO,NO,NO,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
382,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA AUMENTADO?,SIGUE IGUAL?,HA AUMENTADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,No sabe,ALGO DE CONFIANZA,MUCHA CONFIANZA,No sabe,SI,NO,NO,NO,NO,NO,NADA COMPROMETIDO,Dice no conocer  las acciones,UN POCO COMPROMETIDO,Dice no conocer las acciones,UN POCO COMPROMETIDO,Dice no conocer las acciones
383,ASCENDENTE,Masculino,50-59 años,CONTINUAR ENTREVISTA,Guadalupe,No contestó,No contestó,No contestó,No contestó,No contestó,No contestó,No contestó,No contestó,No contestó,No contestó,No contestó,No contestó,No Contestó,No Contestó,No Contestó,No Contestó,No Contestó,No Contestó,,,,,,
384,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,POCO SEGURO,INSEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,No sabe,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
385,ASCENDENTE,Masculino,40-49 años,CONTINUAR ENTREVISTA,Santa Catarina,INSEGURO,INSEGURO,INSEGURO,HA AUMENTADO?,HA AUMENTADO?,HA AUMENTADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,SI,NO,NO,NO,NO,NADA COMPROMETIDO,VA A AUMENTAR?,COMPROMETIDO,VA A AUMENTAR?,COMPROMETIDO,VA A AUMENTAR?
386,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Santa Catarina,INSEGURO,INSEGURO,INSEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
